timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,quatW,quatX,quatY,quatZ,altitude,temperature,analogValue,state
228839,0.296082,-0.159363,0.978638,0.213128,0.663871,1.359013,-0.804674,0.160381,0.092502,0.564106,632.35,31.61,766.00,1
228883,0.280945,-0.177429,0.984497,0.167352,0.694388,-0.014278,-0.806232,0.157254,0.084560,0.564006,632.32,31.61,768.00,1
228983,0.260437,-0.154968,0.947876,-0.290412,1.579398,1.374272,-0.810157,0.144945,0.068427,0.563866,632.34,31.61,768.00,1
229083,0.295593,-0.184265,0.979614,0.106317,-1.029855,0.870732,-0.809148,0.164240,0.066995,0.560188,632.34,31.61,768.00,1
229183,0.276550,-0.168152,1.033325,-0.961798,2.403373,1.572636,-0.812156,0.145492,0.060642,0.561737,632.35,31.61,766.00,1
229283,0.325867,-0.201843,1.058716,-0.854987,0.846976,1.099614,-0.809762,0.161496,0.069650,0.559775,632.35,31.61,766.00,1
229383,0.204773,-0.170593,1.014282,-2.625006,10.032767,2.335576,-0.814079,0.144659,0.048151,0.560376,632.35,31.61,766.00,1
229483,0.210144,-0.195496,1.036255,-0.488776,5.394095,0.046758,-0.817004,0.131176,0.028298,0.560792,632.34,31.61,766.00,1
229583,0.106628,-0.163269,0.989868,-0.549811,7.225150,0.626592,-0.819774,0.113509,0.009890,0.561231,632.34,31.61,768.00,1
229683,0.070496,-0.160828,0.976685,-1.160163,6.767386,-0.151607,-0.821619,0.097112,-0.009428,0.561618,632.32,31.61,768.00,1
229783,0.052429,-0.189636,0.993286,-1.556891,5.653494,0.626592,-0.822763,0.091294,-0.033765,0.559980,632.32,31.61,768.00,1
229883,0.028503,-0.172546,0.997192,-1.801032,7.103079,-0.411006,-0.823901,0.069813,-0.043749,0.560705,632.34,31.61,766.00,1
229983,-0.060364,-0.210144,1.015747,-3.006476,7.759207,0.474004,-0.823498,0.067132,-0.070603,0.558884,632.35,31.61,768.00,1
