timestamp;accelX;accelY;accelZ;gyroX;gyroY;gyroZ;altitude;temperature;analogValue;state
10;-0.024;-0.067;1.011;-6.588;3.641;5.916;0;19;4.1999975;3
110;-0.022;-0.07;1.011;-6.542;3.656;5.901;0;19;4.1999725;3
210;-0.023;-0.073;1.012;-6.573;3.687;5.901;0;19;4.1999475;3
310;-0.02;-0.076;1.01;-6.622;3.65;5.952;0;19;4.1999225;3
410;0.004;-0.079;0.983;-6.602;3.451;6.208;0;19;4.1998975;3
510;0.039;-0.108;0.971;-6.62;3.347;6.519;0;19;4.1998725;3
610;0.042;-0.122;0.991;-6.617;3.497;6.56;0;19;4.1998475;3
710;0.015;-0.107;1.011;-6.591;3.656;6.3;0;19;4.1998225;3
810;-0.024;-0.071;1.012;-6.588;3.641;5.916;0;19;4.1997975;3
910;-0.018;-0.067;1.012;-6.588;3.611;5.916;0;19;4.1997725;3
1010;-0.025;-0.069;1.013;-6.588;3.641;5.886;0;19;4.1997475;3
1110;-0.023;-0.071;1.012;-6.603;3.641;5.916;0;19;4.1997225;3
1210;-0.02;-0.075;1.012;-6.542;3.641;5.871;0;19;4.1996975;3
1310;0.303;0.073;0.438;-6.66;20.653;6.901;0;19;4.1996725;3
1410;1.045;1.388;0.402;-58.3;112.528;46.77;0;19;4.1996475;3
1510;1.324;1.969;1.219;-69.713;144.387;56.476;0;19;4.1996225;3
1610;0.749;1.378;2.038;-47.426;98.092;34.353;0;19;4.1995975;3
1710;-0.017;0.45;2.602;-17.175;31.565;4.336;0;19;4.1995725;3
1810;-0.351;0.042;2.849;-4.229;2.675;-8.523;0;19;4.1995475;3
1910;-0.706;0.116;6.033;-3.414;2.298;-22.114;0;19;4.1995225;3
2010;-1.404;0.462;11.798;-5.489;1.291;-3.483;0.1936;18.9992256;4.1994975;3
2110;-1.546;0.423;13.258;-2.59;5.137;20.992;1.3552;18.9945792;4.1994725;3
2210;-1.107;0.289;9.126;0.736;7.929;49.755;3.87112;18.98451552;4.1994475;3
2310;-0.898;0.194;7.873;-4.945;2.469;56.125;7.54952;18.96980192;4.1994225;3
2410;-0.666;0.22;6.863;-21.58;-0.271;69.755;12.05072;18.95179712;4.1993975;3
2510;-0.531;0.188;5.657;-24.101;0.883;82.525;17.43192;18.93027232;4.1993725;3
2610;-0.549;0.103;4.876;-19.365;4.118;98.124;23.57696;18.90569216;4.1993475;3
2710;-0.642;0.021;4.996;-16.573;8.088;121.819;30.6064;18.8775744;4.1993225;3
2810;-0.783;0.025;6.143;-23.623;12.072;156.387;38.38824;18.84644704;4.1992975;3
2910;-0.743;-0.052;5.74;-27.95;13.254;175.991;46.98496;18.81206016;4.1992725;3
3010;-0.705;-0.121;5.478;-28.011;11.545;189.586;56.2892;18.7748432;4.1992475;3
3110;-0.657;-0.101;5.398;-26.516;16.108;204.693;66.30888;18.73476448;4.1992225;3
3210;-0.59;-0.194;5.446;-32.894;18.259;226.65;77.08008;18.69167968;4.1991975;3
3310;-0.617;-0.229;5.459;-31.886;15.037;234.009;88.55528;18.64577888;4.1991725;3
3410;0.381;0.889;5.439;-33.219;19.403;266.235;100.6764;18.5972944;4.1991475;3
3510;0.536;0.408;5.626;-32.108;27.789;287.029;113.43464;18.54626144;4.1991225;3
3610;-0.039;-0.99;5.786;-31.179;33.39;295.039;126.89424;18.49242304;4.1990975;3
3710;-0.595;-1.71;5.718;-33.398;32.593;299.355;140.74808;18.43700768;4.1990725;3
3810;-0.395;-0.178;5.224;-41.87;21.899;309.196;155.27864;18.37888544;4.1990475;3
3910;-0.456;-0.402;5.109;-45.62;24.912;328.899;170.31344;18.31874624;4.1990225;3
4010;-0.365;-0.525;4.773;-46.169;24.088;333.843;185.62368;18.25750528;4.1989975;3
4110;-15.936;1.397;-15.967;-4.818;-496.405;-493.58;201.01488;18.19594048;4.1989725;3
4210;6.81;-12.479;-15.967;-506.802;503.58;-493.58;215.75312;18.13698752;4.1989475;3
4310;-9.551;13.539;-11.541;-123.013;172.257;-166.588;229.97216;18.08011136;4.1989225;3
4410;-0.307;-10.335;24.198;-327.145;-22.336;1766.05;243.71952;18.02512192;4.1988975;3
4510;4.601;-19.55;32.925;-175.739;65.787;2472.252;257.09904;17.97160384;4.1988725;3
4610;5.57;-16.113;22.16;-82.261;42.916;1901.244;269.98224;17.92007104;4.1988475;3
4710;4.43;-7.246;6.498;-12.736;-18.153;744.993;282.48088;17.87007648;4.1988225;3
4810;3.006;-0.251;0.405;63.633;-25.885;-287.373;294.56064;17.82175744;4.1987975;3
4910;2.529;0.189;-0.552;-9.716;-135.9;271.068;306.25936;17.77496256;4.1987725;3
5010;2.05;-0.643;-0.21;69.035;80.729;-239.842;317.60168;17.72959328;4.1987475;3
5110;0.031;0.551;0.563;-1.858;128.87;-82.295;328.62016;17.68551936;4.1987225;3
5210;0.921;0.715;-0.541;136.982;-54.571;187.999;339.3192;17.6427232;4.1986975;3
5310;0.658;-0.314;-0.383;-1.263;-46.196;230.616;349.71464;17.60114144;4.1986725;3
5410;0.726;-0.838;-0.711;221.992;109.479;80.025;359.81968;17.56072128;4.1986475;3
5510;0.629;-0.822;-0.327;245.054;66.67;63.248;369.644;17.521424;4.1986225;3
5610;0.544;-0.577;-0.281;139.594;-38.299;152.026;379.2008;17.4831968;4.1985975;3
5710;0.614;-0.258;-0.229;-1.058;-88.125;279.415;388.50152;17.44599392;4.1985725;3
5810;0.984;-0.001;0.147;-83.393;26.505;374.919;397.53648;17.40985408;4.1985475;3
5910;0.435;-0.29;-0.073;-91.091;-22.146;94.341;406.28104;17.37487584;4.1985225;3
6010;0.188;-0.18;-0.016;1.988;0.925;-15.263;414.86632;17.34053472;4.1984975;3
6110;0.305;-0.233;-0.002;33.405;-46.087;-142.048;423.22808;17.30708768;4.1984725;3
6210;0.273;-0.164;-0.127;65.342;9.104;-87.254;431.36808;17.27452768;4.1984475;3
6310;0.223;-0.135;-0.082;-2.181;38.479;-78.735;439.29776;17.24280896;4.1984225;3
6410;0.157;-0.11;-0.075;-52.932;-19.133;-71.155;447.05584;17.21177664;4.1983975;3
6510;0.082;-0.094;-0.008;-45.932;-34.161;-63.392;454.58776;17.18164896;4.1983725;3
6610;0.053;-0.095;0.038;-13.142;-17.736;-62.148;461.9296;17.1522816;4.1983475;3
6710;0.069;-0.109;0.049;17.245;10.976;-70.729;469.08664;17.12365344;4.1983225;3
6810;0.128;-0.129;0.011;17.037;32.809;-92.437;476.06592;17.09573632;4.1982975;3
6910;0.135;-0.156;-0.033;-8.48;40.537;-99.69;482.86656;17.06853376;4.1982725;3
7010;0.124;-0.159;-0.028;-20.168;38.736;-75.55;489.5044;17.0419824;4.1982475;3
7110;0.112;-0.148;0.012;-15.118;29.78;-57.301;495.96536;17.01613856;4.1982225;3
7210;0.101;-0.168;0.077;15.461;23.829;-46.65;502.26528;16.99093888;4.1981975;3
7310;0.105;-0.128;0.024;36.044;11.477;-48.818;508.40504;16.96637984;4.1981725;3
7410;0.09;-0.098;0.05;48.217;-2.169;-36.252;514.39168;16.94243328;4.1981475;3
7510;0.001;-0.039;0.016;51.035;-12.39;-13.899;520.2252;16.9190992;4.1981225;3
7610;-0.069;0.034;-0.044;45.078;-19.758;25.84;525.90912;16.89636352;4.1980975;3
7710;0.021;0.068;-0.112;25.408;-24.339;82.71;531.43112;16.87427552;4.1980725;3
7810;0.409;0.013;-0.171;-12.909;-26.21;156.351;536.85456;16.85258176;4.1980475;3
7910;0.606;-0.076;-0.352;-55.37;-13.525;108.974;542.11256;16.83154976;4.1980225;3
8010;0.847;-0.327;-1.519;7.771;-9.863;131.664;547.23504;16.81105984;4.1979975;3
8110;2.2;-0.742;-5.881;-124.844;61.686;-250.981;552.21672;16.79113312;4.1979725;3
